iter	Passed	Remaining
0	3	757
1	6	609
2	8	555
3	10	520
4	13	533
5	16	530
6	19	551
7	23	555
8	26	556
9	29	551
10	31	545
11	34	547
12	38	551
13	41	546
14	44	549
15	48	552
16	51	553
17	53	544
18	56	535
19	58	527
20	60	519
21	63	511
22	65	506
23	68	501
24	70	495
25	72	488
26	75	481
27	77	474
28	79	469
29	82	465
30	84	461
31	86	456
32	89	452
33	91	448
34	94	444
35	96	441
36	100	440
37	102	437
38	105	434
39	107	431
40	110	428
41	113	425
42	115	423
43	118	420
44	121	417
45	123	414
46	126	412
47	129	410
48	133	410
49	135	407
50	138	405
51	141	401
52	143	398
53	146	397
54	149	394
55	152	391
56	155	389
57	157	386
58	160	383
59	163	381
60	166	378
61	168	376
62	171	373
63	174	370
64	176	367
65	180	366
66	182	362
67	185	360
68	188	357
69	190	354
70	193	351
71	196	349
72	198	345
73	201	342
74	203	339
75	206	336
76	208	333
77	212	331
78	214	328
79	217	325
80	219	322
81	221	319
82	224	316
83	227	314
84	230	311
85	233	309
86	235	305
87	238	303
88	240	300
89	243	298
90	246	295
91	249	292
92	252	289
93	254	286
94	256	283
95	259	281
96	262	278
97	264	275
98	266	272
99	268	268
100	271	265
101	273	263
102	276	260
103	278	257
104	281	254
105	283	251
106	285	248
107	288	245
108	291	243
109	293	240
110	296	237
111	298	234
112	301	231
113	303	228
114	306	226
115	309	223
116	311	220
117	314	218
118	316	215
119	319	212
120	322	210
121	324	207
122	328	205
123	330	202
124	332	199
125	335	196
126	338	194
127	340	191
128	343	189
129	346	186
130	348	183
131	350	180
132	353	178
133	356	175
134	358	172
135	361	170
136	363	167
137	365	164
138	368	161
139	371	159
140	373	156
141	376	153
142	378	150
143	381	148
144	383	145
145	386	142
146	389	140
147	391	137
148	394	134
149	396	132
150	399	129
151	402	126
152	404	124
153	407	121
154	409	118
155	412	116
156	414	113
157	417	111
158	420	108
159	423	105
160	426	103
161	428	100
162	431	97
163	434	95
164	437	92
165	440	90
166	442	87
167	445	84
168	447	82
169	450	79
170	453	76
171	455	74
172	458	71
173	460	68
174	462	66
175	465	63
176	468	60
177	470	58
178	472	55
179	474	52
180	476	50
181	479	47
182	481	44
183	484	42
184	486	39
185	488	36
186	491	34
187	493	31
188	495	28
189	498	26
190	500	23
191	502	20
192	505	18
193	507	15
194	509	13
195	512	10
196	515	7
197	517	5
198	520	2
199	522	0
